"","Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval","State"
"673",673,"a","c",1600,4,2009,0,NA,NA,"","BEHBHHNISH"
"674",674,"a","a",1640,6,2006,1,40,2011,"Jan,Apr,Jul,Oct","BY"
"675",675,"d","c",16420,NA,NA,0,NA,NA,"","HE"
"676",676,"d","a",310,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY"
"677",677,"d","c",9910,12,2010,1,9,2011,"Mar,Jun,Sept,Dec","NWRP"
"678",678,"a","a",310,NA,NA,1,5,2013,"Feb,May,Aug,Nov","BY"
"679",679,"a","a",140,3,2006,0,NA,NA,"","BEHBHHNISH"
"680",680,"d","a",1450,3,2012,1,14,2011,"Jan,Apr,Jul,Oct","BY"
"681",681,"a","c",1280,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","NWRP"
"682",682,"a","c",4510,3,2015,0,NA,NA,"","BEHBHHNISH"
"683",683,"a","a",340,6,2003,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"684",684,"a","a",2640,NA,NA,0,NA,NA,"","NWRP"
"685",685,"a","c",20390,4,2008,0,NA,NA,"","NWRP"
"686",686,"c","c",550,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec","NWRP"
"687",687,"d","a",1500,9,2008,1,14,2011,"Jan,Apr,Jul,Oct","BY"
"688",688,"c","a",1190,NA,NA,0,NA,NA,"","SN"
"689",689,"d","a",8530,3,2013,0,NA,NA,"","BY"
"690",690,"c","a",1080,12,2012,0,NA,NA,"","HE"
"691",691,"d","a",2710,7,2006,0,NA,NA,"","NWRP"
"692",692,"a","c",2270,11,2005,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH"
"693",693,"a","a",12770,10,2000,0,NA,NA,"","NWRP"
"694",694,"c","c",5390,8,2003,1,1,2012,"Jan,Apr,Jul,Oct","NWRP"
"695",695,"a","c",680,7,2005,0,NA,NA,"","HE"
"696",696,"a","a",540,6,2011,0,NA,NA,"","BEHBHHNISH"
"697",697,"d","a",2590,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct","SN"
"698",698,"d","c",5150,3,2011,1,13,2010,"Jan,Apr,Jul,Oct","NWRP"
"699",699,"d","c",780,NA,NA,0,NA,NA,"","NWRP"
"700",700,"b","b",590,NA,NA,1,5,2013,"Mar,Jun,Sept,Dec","BY"
"701",701,"d","a",14300,NA,NA,0,NA,NA,"","NWRP"
"702",702,"d","c",8250,10,2004,1,10,2013,"Mar,Jun,Sept,Dec","BW"
"703",703,"d","c",8110,NA,NA,0,NA,NA,"","BW"
"704",704,"c","c",3890,11,2006,1,5,2013,"Feb,May,Aug,Nov","ST"
"705",705,"d","a",11640,4,2005,1,22,2011,"Jan,Apr,Jul,Oct","BY"
"706",706,"c","c",4840,NA,NA,0,NA,NA,"","BEHBHHNISH"
"707",707,"a","c",8860,4,2004,1,37,2009,"Jan,Apr,Jul,Oct","NWRP"
"708",708,"d","c",13170,8,2014,1,9,2011,"Mar,Jun,Sept,Dec","HE"
"709",709,"c","a",3740,2,2002,1,14,2011,"Jan,Apr,Jul,Oct","SN"
"710",710,"a","a",690,6,2007,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH"
"711",711,"d","c",3580,9,2012,0,NA,NA,"","BEHBHHNISH"
"712",712,"d","a",10310,4,2003,1,37,2009,"Jan,Apr,Jul,Oct","BW"
"713",713,"a","a",2960,10,2014,1,36,2013,"Mar,Jun,Sept,Dec","SN"
"714",714,"d","c",13080,9,2006,1,14,2011,"Jan,Apr,Jul,Oct","ST"
"715",715,"c","c",740,NA,NA,1,14,2013,"Mar,Jun,Sept,Dec","NWRP"
"716",716,"a","c",8480,NA,NA,0,NA,NA,"","NWRP"
"717",717,"a","c",250,NA,NA,0,NA,NA,"","NWRP"
"718",718,"d","c",330,NA,NA,1,28,2012,"Jan,Apr,Jul,Oct","NWRP"
"719",719,"a","c",410,11,2010,1,48,2010,"Mar,Jun,Sept,Dec","BEHBHHNISH"
"720",720,"a","a",2710,NA,NA,0,NA,NA,"","NWRP"
"721",721,"a","c",490,9,2012,1,18,2011,"Feb,May,Aug,Nov","NWRP"
"722",722,"a","a",700,3,2015,1,10,2014,"Jan,Apr,Jul,Oct","NWRP"
"723",723,"a","c",9770,7,2003,0,NA,NA,"","BW"
"724",724,"a","a",17570,NA,NA,0,NA,NA,"","BEHBHHNISH"
"725",725,"d","c",10620,NA,NA,0,NA,NA,"","HE"
"726",726,"d","c",6330,6,2004,1,39,2010,"Jan,Apr,Jul,Oct","BY"
"727",727,"d","c",3230,11,2011,0,NA,NA,"","BEHBHHNISH"
"728",728,"d","c",3760,2,2009,0,NA,NA,"","HE"
"729",729,"a","c",7980,6,2005,0,NA,NA,"","NWRP"
"730",730,"a","a",2020,2,2011,1,14,2011,"Mar,Jun,Sept,Dec","BBMVTH"
"731",731,"a","c",1620,9,2006,0,NA,NA,"","BY"
"732",732,"d","a",1360,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec","HE"
"733",733,"a","a",4580,NA,NA,1,14,2015,"Jan,Apr,Jul,Oct","NWRP"
"734",734,"a","c",380,NA,NA,1,14,2012,"Jan,Apr,Jul,Oct","NWRP"
"735",735,"d","c",2620,11,2002,0,NA,NA,"","ST"
"736",736,"a","a",110,11,2012,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"737",737,"d","a",10950,3,2014,0,NA,NA,"","BY"
"738",738,"a","a",720,11,2004,0,NA,NA,"","SN"
"739",739,"d","c",9360,7,2013,1,22,2012,"Mar,Jun,Sept,Dec","BW"
"740",740,"d","a",2530,NA,NA,0,NA,NA,"","NWRP"
"741",741,"a","c",2700,NA,NA,0,NA,NA,"","NWRP"
"742",742,"a","a",680,4,2013,0,NA,NA,"","BEHBHHNISH"
"743",743,"a","a",15430,11,2012,1,18,2011,"Feb,May,Aug,Nov","NWRP"
"744",744,"d","c",9070,12,2003,0,NA,NA,"","HE"
"745",745,"d","c",1280,NA,NA,1,10,2013,"Mar,Jun,Sept,Dec","BW"
"746",746,"a","c",100,6,2010,1,18,2010,"Feb,May,Aug,Nov","BEHBHHNISH"
"747",747,"a","c",2230,5,2009,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"748",748,"a","a",2410,NA,NA,0,NA,NA,"","HE"
"749",749,"a","c",3040,8,2011,1,35,2010,"Mar,Jun,Sept,Dec","NWRP"
"750",750,"a","a",820,3,2012,1,35,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH"
"751",751,"d","c",1250,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","NWRP"
"752",752,"c","c",26130,11,2002,0,NA,NA,"","ST"
"753",753,"c","a",5780,11,1994,1,10,2014,"Mar,Jun,Sept,Dec","BW"
"754",754,"c","c",4630,3,2011,1,35,2011,"Feb,May,Aug,Nov","NWRP"
"755",755,"c","a",500,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BW"
"756",756,"a","a",780,4,2009,0,NA,NA,"","BEHBHHNISH"
"757",757,"a","a",1420,11,2007,0,NA,NA,"","BEHBHHNISH"
"758",758,"d","c",13130,12,2003,0,NA,NA,"","BBMVTH"
"759",759,"d","c",17540,6,2012,0,NA,NA,"","BEHBHHNISH"
"760",760,"a","a",3570,11,2009,1,36,2013,"Mar,Jun,Sept,Dec","SN"
"761",761,"d","a",7660,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","BW"
"762",762,"a","c",1710,NA,NA,1,44,2012,"Jan,Apr,Jul,Oct","NWRP"
"763",763,"a","c",13840,5,2010,1,1,2012,"Jan,Apr,Jul,Oct","ST"
"764",764,"c","c",820,NA,NA,0,NA,NA,"","BEHBHHNISH"
"765",765,"c","a",1270,9,2010,0,NA,NA,"","BEHBHHNISH"
"766",766,"d","a",10170,11,2001,0,NA,NA,"","BY"
"767",767,"a","a",1730,7,2015,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"768",768,"a","c",2840,6,2007,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH"
"769",769,"a","a",1040,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct","BY"
"770",770,"a","c",4650,6,2014,0,NA,NA,"","BEHBHHNISH"
"771",771,"d","a",510,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec","NWRP"
"772",772,"a","c",350,3,2011,1,22,2011,"Feb,May,Aug,Nov","NWRP"
"773",773,"d","a",10070,5,2015,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"774",774,"c","a",2740,5,2009,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"775",775,"a","a",5630,12,2002,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"776",776,"a","c",90,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct","NWRP"
"777",777,"a","a",2300,9,2010,0,NA,NA,"","BW"
"778",778,"a","a",90,11,2012,0,NA,NA,"","NWRP"
"779",779,"a","a",1070,5,2015,1,14,2011,"Jan,Apr,Jul,Oct","NWRP"
"780",780,"a","a",560,1,2011,0,NA,NA,"","BEHBHHNISH"
"781",781,"c","a",3040,9,2002,1,13,2010,"Jan,Apr,Jul,Oct","BW"
"782",782,"a","a",450,NA,NA,0,NA,NA,"","HE"
"783",783,"a","c",8940,NA,NA,1,9,2011,"Jan,Apr,Jul,Oct","SN"
"784",784,"a","a",1200,12,2011,1,31,2013,"Jan,Apr,Jul,Oct","BY"
"785",785,"a","c",1650,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"786",786,"d","c",5840,7,2010,1,37,2009,"Jan,Apr,Jul,Oct","HE"
"787",787,"a","a",100,5,2007,1,31,2013,"Jan,Apr,Jul,Oct","NWRP"
"788",788,"a","c",3860,9,2014,1,23,2015,"Mar,Jun,Sept,Dec","NWRP"
"789",789,"d","a",9680,NA,NA,1,5,2013,"Feb,May,Aug,Nov","HE"
"790",790,"d","c",4030,3,2014,1,1,2014,"Jan,Apr,Jul,Oct","NWRP"
"791",791,"c","a",250,6,2007,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH"
"792",792,"a","a",4520,2,2014,0,NA,NA,"","BEHBHHNISH"
"793",793,"a","a",1350,9,2009,0,NA,NA,"","BEHBHHNISH"
"794",794,"a","a",540,4,2004,0,NA,NA,"","SN"
"795",795,"d","a",5800,9,2010,0,NA,NA,"","BEHBHHNISH"
"796",796,"d","c",840,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct","HE"
"797",797,"d","a",11300,3,2012,0,NA,NA,"","HE"
"798",798,"a","a",4030,2,2013,1,10,2014,"Jan,Apr,Jul,Oct","NWRP"
"799",799,"a","a",1950,7,2015,0,NA,NA,"","BEHBHHNISH"
"800",800,"d","c",670,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","BW"
"801",801,"c","c",2700,NA,NA,1,9,2011,"Mar,Jun,Sept,Dec","BW"
"802",802,"c","c",1540,NA,NA,1,1,2012,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"803",803,"a","a",2050,3,2007,0,NA,NA,"","HE"
"804",804,"a","c",1480,9,2011,1,1,2012,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"805",805,"d","c",1390,NA,NA,1,9,2011,"Mar,Jun,Sept,Dec","HE"
"806",806,"a","a",170,7,2013,1,27,2013,"Jan,Apr,Jul,Oct","NWRP"
"807",807,"d","a",5190,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct","HE"
"808",808,"a","c",150,NA,NA,0,NA,NA,"","NWRP"
"809",809,"a","a",27150,NA,NA,0,NA,NA,"","SN"
"810",810,"a","a",13020,8,2003,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"811",811,"d","c",6210,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct","HE"
"812",812,"a","a",190,9,2011,0,NA,NA,"","NWRP"
"813",813,"d","a",450,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","HE"
"814",814,"b","b",840,NA,NA,1,48,2012,"Jan,Apr,Jul,Oct","NWRP"
"815",815,"a","c",60,6,2015,0,NA,NA,"","NWRP"
"816",816,"a","c",4150,NA,NA,0,NA,NA,"","BW"
"817",817,"d","c",250,NA,NA,1,27,2012,"Jan,Apr,Jul,Oct","BY"
"818",818,"a","c",18710,4,2015,0,NA,NA,"","SN"
"819",819,"a","a",18620,NA,NA,1,31,2009,"Feb,May,Aug,Nov","SN"
"820",820,"d","c",5140,5,2010,0,NA,NA,"","HE"
"821",821,"c","c",1130,6,2015,0,NA,NA,"","BEHBHHNISH"
"822",822,"c","c",8190,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY"
"823",823,"c","a",210,NA,NA,1,36,2013,"Mar,Jun,Sept,Dec","NWRP"
"824",824,"a","c",370,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec","NWRP"
"825",825,"a","c",200,4,2013,1,14,2013,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"826",826,"a","a",160,8,2012,0,NA,NA,"","BEHBHHNISH"
"827",827,"a","c",2100,2,2010,0,NA,NA,"","BEHBHHNISH"
"828",828,"d","a",2610,7,2006,1,14,2011,"Jan,Apr,Jul,Oct","BY"
"829",829,"a","a",3470,3,2012,0,NA,NA,"","BEHBHHNISH"
"830",830,"c","a",2550,10,2005,0,NA,NA,"","ST"
"831",831,"d","c",8970,12,2007,1,22,2012,"Feb,May,Aug,Nov","BW"
"832",832,"d","c",9640,11,2013,0,NA,NA,"","NWRP"
"833",833,"a","a",2390,9,2012,0,NA,NA,"","BEHBHHNISH"
"834",834,"a","a",26450,NA,NA,0,NA,NA,"","ST"
"835",835,"d","a",17280,10,2009,1,18,2011,"Feb,May,Aug,Nov","NWRP"
"836",836,"d","c",4110,3,2010,1,14,2011,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"837",837,"d","c",7890,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","HE"
"838",838,"c","a",3490,4,2011,1,22,2012,"Jan,Apr,Jul,Oct","BY"
"839",839,"c","c",550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct","BW"
"840",840,"d","c",9560,NA,NA,1,36,2013,"Jan,Apr,Jul,Oct","NWRP"
"841",841,"a","c",350,11,2006,0,NA,NA,"","BEHBHHNISH"
"842",842,"c","a",4770,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct","SN"
"843",843,"d","a",20260,NA,NA,1,18,2014,"Mar,Jun,Sept,Dec","NWRP"
"844",844,"a","a",1690,4,2015,0,NA,NA,"","BBMVTH"
"845",845,"a","c",7420,4,2013,0,NA,NA,"","BEHBHHNISH"
"846",846,"c","a",4210,3,2015,0,NA,NA,"","BEHBHHNISH"
"847",847,"d","c",6620,3,2012,1,10,2014,"Mar,Jun,Sept,Dec","HE"
"848",848,"a","a",500,12,2010,0,NA,NA,"","BEHBHHNISH"
"849",849,"c","c",8140,11,2013,1,10,2014,"Mar,Jun,Sept,Dec","SN"
"850",850,"d","c",10600,7,2005,1,45,2014,"Feb,May,Aug,Nov","HE"
"851",851,"a","a",18660,9,2002,0,NA,NA,"","BBMVTH"
"852",852,"d","c",9800,7,2012,0,NA,NA,"","BEHBHHNISH"
"853",853,"d","c",4330,2,2011,1,35,2011,"Mar,Jun,Sept,Dec","HE"
"854",854,"d","c",29070,4,2005,0,NA,NA,"","ST"
"855",855,"a","a",40,8,2001,0,NA,NA,"","NWRP"
"856",856,"d","c",6540,NA,NA,1,14,2013,"Jan,Apr,Jul,Oct","NWRP"
"857",857,"d","c",1690,7,2009,1,36,2013,"Mar,Jun,Sept,Dec","NWRP"
"858",858,"d","a",300,5,2014,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"859",859,"a","a",5950,4,2007,0,NA,NA,"","NWRP"
"860",860,"d","c",5540,10,2009,0,NA,NA,"","SN"
"861",861,"a","c",9720,8,2013,0,NA,NA,"","BEHBHHNISH"
"862",862,"d","a",NA,NA,NA,0,NA,NA,"","SN"
"863",863,"d","c",1920,4,2005,0,NA,NA,"","ST"
"864",864,"d","a",2300,NA,NA,0,NA,NA,"","BBMVTH"
"865",865,"d","a",6260,11,2009,0,NA,NA,"","NWRP"
"866",866,"a","a",310,12,2013,0,NA,NA,"","SN"
"867",867,"a","a",36410,4,2008,0,NA,NA,"","ST"
"868",868,"a","c",50,NA,NA,0,NA,NA,"","NWRP"
"869",869,"d","c",5210,5,2015,0,NA,NA,"","BEHBHHNISH"
"870",870,"a","a",1100,6,2015,0,NA,NA,"","HE"
"871",871,"d","c",6910,4,2005,0,NA,NA,"","NWRP"
"872",872,"c","c",2470,2,2005,1,31,2013,"Mar,Jun,Sept,Dec","HE"
"873",873,"d","c",1450,4,2005,1,45,2009,"Feb,May,Aug,Nov","BW"
"874",874,"a","a",6480,NA,NA,0,NA,NA,"","NWRP"
"875",875,"d","a",6560,12,2013,0,NA,NA,"","SN"
"876",876,"a","a",4970,7,2015,0,NA,NA,"","NWRP"
"877",877,"c","c",380,5,2008,1,10,2014,"Mar,Jun,Sept,Dec","BBMVTH"
"878",878,"a","a",910,NA,NA,0,NA,NA,"","NWRP"
"879",879,"a","a",190,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct","HE"
"880",880,"a","a",2320,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct","NWRP"
"881",881,"a","c",14300,3,2011,0,NA,NA,"","BEHBHHNISH"
"882",882,"d","c",450,4,2014,1,39,2010,"Jan,Apr,Jul,Oct","BY"
"883",883,"a","c",2840,3,2010,1,14,2011,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"884",884,"d","c",540,11,2012,1,35,2010,"Mar,Jun,Sept,Dec","NWRP"
"885",885,"a","c",830,NA,NA,1,27,2013,"Jan,Apr,Jul,Oct","HE"
"886",886,"a","c",2630,9,2012,0,NA,NA,"","BEHBHHNISH"
"887",887,"d","a",3200,1,2008,1,22,2011,"Jan,Apr,Jul,Oct","BY"
"888",888,"a","a",480,NA,NA,0,NA,NA,"","NWRP"
"889",889,"d","c",2210,11,2011,0,NA,NA,"","BEHBHHNISH"
"890",890,"a","a",1110,5,2009,0,NA,NA,"","BEHBHHNISH"
"891",891,"a","a",2890,12,2007,1,10,2014,"Mar,Jun,Sept,Dec","NWRP"
"892",892,"d","c",4270,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct","HE"
"893",893,"a","c",18050,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH"
"894",894,"a","a",2100,8,2013,1,14,2011,"Jan,Apr,Jul,Oct","NWRP"
"895",895,"a","a",50,12,2005,1,26,2010,"Jan,Apr,Jul,Oct","BBMVTH"
"896",896,"d","c",8400,4,2012,1,5,2013,"Feb,May,Aug,Nov","NWRP"
"897",897,"a","a",100,NA,NA,0,NA,NA,"","NWRP"
"898",898,"d","c",14620,NA,NA,0,NA,NA,"","NWRP"
"899",899,"a","c",3110,3,2003,0,NA,NA,"","NWRP"
"900",900,"a","c",130,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH"
"901",901,"a","c",13620,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec","NWRP"
"902",902,"a","a",30,7,2002,0,NA,NA,"","NWRP"
"903",903,"d","c",8460,NA,NA,0,NA,NA,"","HE"
"904",904,"a","a",2260,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"905",905,"a","c",1680,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY"
"906",906,"d","c",440,4,2014,0,NA,NA,"","BEHBHHNISH"
"907",907,"a","a",1100,6,2009,0,NA,NA,"","BEHBHHNISH"
"908",908,"d","c",7520,7,2014,1,45,2009,"Feb,May,Aug,Nov","NWRP"
"909",909,"a","a",400,8,2013,0,NA,NA,"","BEHBHHNISH"
"910",910,"d","c",2770,NA,NA,0,NA,NA,"","NWRP"
"911",911,"b","a",400,3,2006,0,NA,NA,"","BEHBHHNISH"
"912",912,"a","c",2330,NA,NA,0,NA,NA,"","BEHBHHNISH"
"913",913,"a","a",1160,9,2005,1,13,2010,"Jan,Apr,Jul,Oct","BY"
"914",914,"a","c",2900,7,1990,0,NA,NA,"","NWRP"
"915",915,"c","a",2460,1,2012,0,NA,NA,"","BEHBHHNISH"
"916",916,"d","c",1100,12,2014,0,NA,NA,"","ST"
"917",917,"c","c",340,NA,NA,0,NA,NA,"","HE"
"918",918,"d","a",2110,11,1995,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"919",919,"a","a",540,10,2011,0,NA,NA,"","BEHBHHNISH"
"920",920,"a","a",330,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","SN"
"921",921,"d","c",4520,NA,NA,0,NA,NA,"","NWRP"
"922",922,"a","a",14960,NA,NA,0,NA,NA,"","ST"
"923",923,"d","c",13840,6,2010,1,14,2012,"Jan,Apr,Jul,Oct","BBMVTH"
"924",924,"d","a",21930,NA,NA,0,NA,NA,"","SN"
"925",925,"d","c",15340,4,2015,1,39,2009,"Jan,Apr,Jul,Oct","BBMVTH"
"926",926,"d","c",18010,9,2007,0,NA,NA,"","BW"
"927",927,"a","a",140,4,2008,0,NA,NA,"","ST"
"928",928,"a","c",1140,5,2013,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"929",929,"c","c",1130,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","HE"
"930",930,"a","a",3150,5,2005,0,NA,NA,"","HE"
"931",931,"c","a",240,9,2002,0,NA,NA,"","SN"
"932",932,"a","a",14960,11,2013,1,37,2009,"Jan,Apr,Jul,Oct","ST"
"933",933,"c","a",1140,5,2011,1,14,2012,"Mar,Jun,Sept,Dec","BBMVTH"
"934",934,"a","a",850,11,2012,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"935",935,"a","a",580,2,2008,0,NA,NA,"","NWRP"
"936",936,"d","a",18610,11,2002,1,48,2011,"Mar,Jun,Sept,Dec","NWRP"
"937",937,"a","a",3750,NA,NA,1,45,2009,"Feb,May,Aug,Nov","NWRP"
"938",938,"a","a",3200,6,2005,0,NA,NA,"","NWRP"
"939",939,"d","a",6540,12,2007,0,NA,NA,"","HE"
"940",940,"c","c",5260,9,2012,0,NA,NA,"","BEHBHHNISH"
"941",941,"c","a",1270,9,2008,0,NA,NA,"","HE"
"942",942,"d","c",4820,3,2008,0,NA,NA,"","NWRP"
"943",943,"a","c",25360,10,2014,0,NA,NA,"","SN"
"944",944,"a","a",260,10,2006,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"945",945,"d","a",490,NA,NA,1,35,2010,"Mar,Jun,Sept,Dec","HE"
"946",946,"c","a",4030,2,2015,0,NA,NA,"","BEHBHHNISH"
"947",947,"d","c",17340,6,2010,1,9,2011,"Feb,May,Aug,Nov","BEHBHHNISH"
"948",948,"d","a",18670,12,2005,0,NA,NA,"","ST"
"949",949,"d","c",6860,NA,NA,1,18,2011,"Jan,Apr,Jul,Oct","HE"
"950",950,"a","a",3350,2,2010,0,NA,NA,"","BEHBHHNISH"
"951",951,"a","c",9200,10,2009,1,14,2012,"Jan,Apr,Jul,Oct","SN"
"952",952,"d","c",2330,NA,NA,1,49,2014,"Mar,Jun,Sept,Dec","BY"
"953",953,"a","a",2040,6,2007,0,NA,NA,"","BEHBHHNISH"
"954",954,"c","a",550,12,2013,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"955",955,"a","a",21790,4,2005,1,18,2015,"Feb,May,Aug,Nov","ST"
"956",956,"a","a",90,12,2012,1,14,2011,"Jan,Apr,Jul,Oct","HE"
"957",957,"d","a",NA,NA,NA,1,5,2013,"Feb,May,Aug,Nov","BY"
"958",958,"a","a",2640,12,2005,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"959",959,"d","c",2920,10,1995,1,27,2011,"Jan,Apr,Jul,Oct","BBMVTH"
"960",960,"a","c",15320,3,2011,1,14,2013,"Feb,May,Aug,Nov","BEHBHHNISH"
"961",961,"a","c",270,4,2013,1,14,2013,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"962",962,"a","a",1980,7,2010,1,37,2009,"Jan,Apr,Jul,Oct","HE"
"963",963,"d","a",2590,9,2012,0,NA,NA,"","SN"
"964",964,"a","c",8260,NA,NA,0,NA,NA,"","NWRP"
"965",965,"a","a",2890,10,2003,0,NA,NA,"","NWRP"
"966",966,"d","c",7160,11,2012,1,9,2011,"Jan,Apr,Jul,Oct","BY"
"967",967,"a","a",3560,10,2001,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"968",968,"d","a",8990,NA,NA,1,31,2009,"Feb,May,Aug,Nov","HE"
"969",969,"a","c",5330,9,2011,1,31,2013,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"970",970,"c","a",420,3,2006,0,NA,NA,"","ST"
"971",971,"d","c",1090,NA,NA,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"972",972,"c","a",3850,11,2005,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH"
"973",973,"d","c",3560,NA,NA,0,NA,NA,"","NWRP"
"974",974,"a","c",1650,9,2008,0,NA,NA,"","BEHBHHNISH"
"975",975,"d","c",1910,4,2009,0,NA,NA,"","BEHBHHNISH"
"976",976,"a","a",1000,9,2008,0,NA,NA,"","NWRP"
"977",977,"a","a",7250,12,2013,0,NA,NA,"","NWRP"
"978",978,"d","a",1590,3,2012,0,NA,NA,"","HE"
"979",979,"c","a",1980,4,2009,0,NA,NA,"","BEHBHHNISH"
"980",980,"d","c",2770,6,2008,1,22,2011,"Jan,Apr,Jul,Oct","BY"
"981",981,"d","c",1500,10,2005,0,NA,NA,"","NWRP"
"982",982,"a","a",14040,NA,NA,0,NA,NA,"","BW"
"983",983,"c","a",1600,8,2013,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"984",984,"a","a",2410,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"985",985,"c","a",190,NA,NA,1,45,2009,"Feb,May,Aug,Nov","NWRP"
"986",986,"a","a",800,6,2007,0,NA,NA,"","NWRP"
"987",987,"c","c",530,4,2005,1,35,2010,"Mar,Jun,Sept,Dec","NWRP"
"988",988,"a","c",290,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","NWRP"
"989",989,"a","c",9260,NA,NA,0,NA,NA,"","BEHBHHNISH"
"990",990,"a","a",80,6,2005,0,NA,NA,"","NWRP"
"991",991,"a","a",2540,6,2005,0,NA,NA,"","NWRP"
"992",992,"a","a",6710,11,2003,1,14,2012,"Jan,Apr,Jul,Oct","SN"
"993",993,"d","a",1760,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec","HE"
"994",994,"a","a",40,3,2014,1,1,2014,"Jan,Apr,Jul,Oct","NWRP"
"995",995,"a","a",1930,9,2009,0,NA,NA,"","BEHBHHNISH"
"996",996,"a","c",7340,5,2008,1,27,2012,"Jan,Apr,Jul,Oct","BY"
"997",997,"a","c",29190,NA,NA,0,NA,NA,"","BEHBHHNISH"
"998",998,"a","c",3340,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec","BW"
"999",999,"d","c",1040,NA,NA,1,27,2012,"Jan,Apr,Jul,Oct","BY"
"1000",1000,"c","a",2410,NA,NA,1,35,2011,"Jan,Apr,Jul,Oct","BW"
